City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,Kachīry,53.0675,76.1036,-20.11,98,85,1.83,KZ,1670277122
117,Treinta y Tres,-33.2333,-54.3833,24.87,44,0,5.91,UY,1670277122
118,Karak,31.1667,35.75,10.36,81,0,1.79,JO,1670277123
119,Hong Kong,22.2855,114.1577,16.25,73,74,4.92,HK,1670277007
120,Santa Fé do Sul,-20.2111,-50.9258,25.24,68,80,3.16,BR,1670277124
121,Portland,45.5234,-122.6762,8.1,76,20,1.54,US,1670276725
122,Prado,-17.3411,-39.2208,22.83,87,100,3.09,BR,1670277124
123,Kānker,20.2719,81.4931,14.05,63,1,0.49,IN,1670277125
124,Valparaíso,-33.0393,-71.6273,21.13,87,0,4.63,CL,1670277073
125,Tateyama,34.9833,139.8667,6.96,87,75,5.66,JP,1670277125
126,Marawi,7.9986,124.2928,19.4,93,73,0.83,PH,1670277126
127,Hithadhoo,-0.6,73.0833,27.26,77,98,3.84,MV,1670276986
128,Darnah,32.767,22.6367,17.31,77,27,1.44,LY,1670277127
129,Barrow,71.2906,-156.7887,-0.99,86,75,9.77,US,1670276773
130,Kemijärvi,66.7131,27.4306,-0.21,97,100,5.42,FI,1670277128
131,‘Āhuimanu,21.4447,-157.8378,27.84,68,40,3.09,US,1670277128
132,Barbastro,42.0356,0.1269,8.3,64,100,1.41,ES,1670277128
133,Zapadnaya Dvina,56.259,32.0745,-7.74,80,100,4.0,RU,1670277129
134,Maceió,-9.6658,-35.7353,24.69,94,75,4.63,BR,1670277129
135,Avera,33.194,-82.5271,11.32,96,100,2.79,US,1670277130
136,Katsuura,35.1333,140.3,7.01,95,100,9.0,JP,1670276941
137,Aitape,-3.1374,142.3475,24.69,92,100,3.51,PG,1670277130
138,Rāzole,16.4833,81.8333,21.36,86,61,1.78,IN,1670277131
139,Codrington,-38.2667,141.9667,14.18,64,12,4.92,AU,1670277048
140,Alihe,50.5667,123.7167,-15.14,84,100,2.33,CN,1670277132
141,Klaksvík,62.2266,-6.589,4.51,65,80,11.72,FO,1670277028
142,Severo-Kuril'sk,50.6789,156.125,-4.64,76,98,9.47,RU,1670277132
143,Mergen,49.1833,125.2167,-17.44,89,77,3.34,CN,1670277133
144,Saldanha,-33.0117,17.9442,16.03,78,75,6.36,ZA,1670277058
145,Kieta,-6.2167,155.6333,27.81,75,96,1.14,PG,1670276995
146,East London,-33.0153,27.9116,15.71,85,4,4.94,ZA,1670277134
147,Emerald,-23.5333,148.1667,25.19,64,0,3.94,AU,1670277134
148,Lucapa,-8.4192,20.7447,16.31,97,31,0.6,AO,1670277135
149,San Ramon,37.7799,-121.978,15.92,73,75,5.66,US,1670276946
150,Kahului,20.8947,-156.47,28.01,66,20,5.14,US,1670276862
151,Kavaratti,10.5669,72.642,27.39,73,57,0.74,IN,1670276988
152,Port Elizabeth,-33.918,25.5701,16.29,90,2,3.58,ZA,1670277040
153,Ulladulla,-35.35,150.4667,17.79,68,43,4.13,AU,1670276990
154,Oddur,4.1213,43.8894,23.42,59,79,5.25,SO,1670277137
155,Kastamonu Province,41.5,33.6667,5.5,76,94,1.11,TR,1670277137
156,Hobyo,5.3505,48.5268,26.71,77,100,7.64,SO,1670277138
157,Mae Ramat,16.984,98.5166,22.67,93,95,0.8,TH,1670277138
158,Orange Cove,36.6244,-119.3137,16.65,63,40,3.09,US,1670277139
159,Nadvoitsy,63.8667,34.3167,-5.2,91,100,6.25,RU,1670277139
160,Atasū,48.6814,71.6433,-25.66,96,33,2.01,KZ,1670277140
161,Muhafazat Lahij,13.1667,44.5833,20.55,82,11,1.92,YE,1670277140
162,Manacor,39.5696,3.2096,12.51,80,35,1.33,ES,1670277141
163,Kurchum,48.5722,83.6542,-20.72,100,97,0.11,KZ,1670277141
164,Tebingtinggi,3.3285,99.1625,22.97,92,100,0.66,ID,1670277142
165,Port Blair,11.6667,92.75,27.14,83,99,9.3,IN,1670277142
166,Broome,42.2506,-75.833,4.25,51,0,3.09,US,1670277142
167,Cabo San Lucas,22.8909,-109.9124,29.73,62,68,1.34,MX,1670277143
168,Faanui,-16.4833,-151.75,26.37,77,76,7.98,PF,1670276912
169,Olafsvik,64.8945,-23.7142,4.16,77,17,1.41,IS,1670277144
170,Hasanpur,28.7167,78.2833,13.33,40,0,3.19,IN,1670277144
171,Paamiut,61.994,-49.6678,3.04,77,100,15.54,GL,1670277120
172,Cascais,38.6979,-9.4215,14.96,91,65,2.24,PT,1670277098
173,Alofi,-19.0595,-169.9187,26.94,89,75,4.63,NU,1670277145
174,Dudinka,69.4058,86.1778,-3.54,95,100,7.13,RU,1670276936
175,Meulaboh,4.1363,96.1285,23.18,93,100,1.61,ID,1670276911
176,Aklavik,68.2191,-135.0107,-25.43,83,100,9.69,CA,1670276995
177,Verkhnevilyuysk,63.4453,120.3167,-23.82,99,100,1.74,RU,1670277024
